name,value,year,lastValue,rank,
ppc,1999800,Jan-11,1989075,2,
ppc,2012175,Feb-11,1999800,2,
ppc,2023725,Mar-11,2012175,2,
ppc,2033625,Apr-11,2023725,2,
ppc,2044350,May-11,2033625,2,
ppc,2054250,Jun-11,2044350,2,
ppc,2064975,Jul-11,2054250,2,
ppc,2074050,Aug-11,2064975,2,
ppc,2085600,Sep-11,2074050,2,
ppc,2094675,Oct-11,2085600,2,
ppc,2103750,Nov-11,2094675,2,
ppc,2112825,Dec-11,2103750,2,
ppc,2122725,Jan-12,2112825,2,
ppc,2131800,Feb-12,2122725,2,
ppc,2142525,Mar-12,2131800,2,
ppc,2152425,Apr-12,2142525,2,
ppc,2162325,May-12,2152425,2,
ppc,2172225,Jun-12,2162325,2,
ppc,2182950,Jul-12,2172225,2,
ppc,2192850,Aug-12,2182950,2,
ppc,2201925,Sep-12,2192850,2,
ppc,2212650,Oct-12,2201925,2,
ppc,2222550,Nov-12,2212650,2,
ppc,2229975,Dec-12,2222550,2,
ppc,2238225,Jan-13,2229975,2,
ppc,2248125,Feb-13,2238225,2,
ppc,2257200,Mar-13,2248125,2,
ppc,2266275,Apr-13,2257200,2,
ppc,2275350,May-13,2266275,2,
ppc,2282775,Jun-13,2275350,2,
ppc,2291025,Jul-13,2282775,2,
ppc,2298450,Aug-13,2291025,2,
ppc,2306700,Sep-13,2298450,2,
ppc,2315775,Oct-13,2306700,2,
ppc,2324025,Nov-13,2315775,2,
ppc,2331450,Dec-13,2324025,2,
ppc,2340525,Jan-14,2331450,2,
ppc,2350425,Feb-14,2340525,2,
ppc,2359500,Mar-14,2350425,2,
ppc,2368575,Apr-14,2359500,2,
ppc,2377650,May-14,2368575,2,
ppc,2386725,Jun-14,2377650,2,
ppc,2395800,Jul-14,2386725,2,
ppc,2404050,Aug-14,2395800,2,
ppc,2413950,Sep-14,2404050,2,
ppc,2423850,Oct-14,2413950,2,
ppc,2433750,Nov-14,2423850,2,
ppc,2442825,Dec-14,2433750,2,
ppc,2452725,Jan-15,2442825,2,
ppc,2462625,Feb-15,2452725,2,
ppc,2472525,Mar-15,2462625,2,
ppc,2482425,Apr-15,2472525,2,
ppc,2490675,May-15,2482425,2,
ppc,2499750,Jun-15,2490675,2,
ppc,2508000,Jul-15,2499750,2,
ppc,2515425,Aug-15,2508000,2,
ppc,2525325,Sep-15,2515425,2,
ppc,2534400,Oct-15,2525325,2,
ppc,2541825,Nov-15,2534400,2,
ppc,2549250,Dec-15,2541825,2,
ppc,2559150,Jan-16,2549250,2,
ppc,2569875,Feb-16,2559150,2,
ppc,2579775,Mar-16,2569875,2,
ppc,2589675,Apr-16,2579775,2,
ppc,2599575,May-16,2589675,2,
ppc,2610300,Jun-16,2599575,2,
ppc,2620200,Jul-16,2610300,2,
ppc,2630100,Aug-16,2620200,2,
ppc,2640000,Sep-16,2630100,2,
ppc,2649900,Oct-16,2640000,2,
ppc,2660625,Nov-16,2649900,2,
ppc,2669700,Dec-16,2660625,2,
ppc,2680425,Jan-17,2669700,2,
ppc,2691975,Feb-17,2680425,2,
ppc,2703525,Mar-17,2691975,2,
ppc,2714250,Apr-17,2703525,2,
ppc,2725800,May-17,2714250,2,
ppc,2736525,Jun-17,2725800,2,
ppc,2746425,Jul-17,2736525,2,
ppc,2756325,Aug-17,2746425,2,
ppc,2767875,Sep-17,2756325,2,
ppc,2779425,Oct-17,2767875,2,
ppc,2788500,Nov-17,2779425,2,
ppc,2795100,Dec-17,2788500,2,
ppc,2805000,Jan-18,2795100,2,
ppc,2814900,Feb-18,2805000,2,
ppc,2823975,Mar-18,2814900,2,
ppc,2833050,Apr-18,2823975,2,
ppc,2842125,May-18,2833050,2,
ppc,2851200,Jun-18,2842125,2,
ppc,2859450,Jul-18,2851200,2,
ppc,2866875,Aug-18,2859450,2,
ppc,2875125,Sep-18,2866875,2,
ppc,2884200,Oct-18,2875125,2,
ppc,2893275,Nov-18,2884200,2,
ppc,2899875,Dec-18,2893275,2,
ppc,2908125,Jan-19,2899875,2,
ppc,2916375,Feb-19,2908125,2,
